  # Source : patch outlet
# Faces  : 160
# Time	sum(magSf)	weightedAverage(T)
2.104531e+02	8.718506e+00	3.461350e+02
2.107656e+02	8.718506e+00	3.461102e+02
2.110781e+02	8.718506e+00	3.460854e+02
2.113906e+02	8.718506e+00	3.460606e+02
2.117031e+02	8.718506e+00	3.460358e+02
2.120156e+02	8.718506e+00	3.460111e+02
2.123281e+02	8.718506e+00	3.459864e+02
2.126406e+02	8.718506e+00	3.459616e+02
2.129531e+02	8.718506e+00	3.459369e+02
2.132656e+02	8.718506e+00	3.459122e+02
2.135781e+02	8.718506e+00	3.458875e+02
2.138906e+02	8.718506e+00	3.458629e+02
2.142031e+02	8.718506e+00	3.458382e+02
2.145156e+02	8.718506e+00	3.458136e+02
2.148281e+02	8.718506e+00	3.457890e+02
2.151406e+02	8.718506e+00	3.457643e+02
2.154531e+02	8.718506e+00	3.457397e+02
2.157656e+02	8.718506e+00	3.457152e+02
2.160781e+02	8.718506e+00	3.456906e+02
2.163906e+02	8.718506e+00	3.456660e+02
2.167031e+02	8.718506e+00	3.456415e+02
2.170156e+02	8.718506e+00	3.456169e+02
2.173281e+02	8.718506e+00	3.455924e+02
2.176406e+02	8.718506e+00	3.455679e+02
2.179531e+02	8.718506e+00	3.455434e+02
2.182656e+02	8.718506e+00	3.455189e+02
2.185781e+02	8.718506e+00	3.454944e+02
