  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volIntegrate(T)
1.728834e+03	5.221114e-01	1.652306e+02
1.729352e+03	5.221114e-01	1.652230e+02
1.729870e+03	5.221114e-01	1.652154e+02
1.730389e+03	5.221114e-01	1.652078e+02
1.730907e+03	5.221114e-01	1.652003e+02
1.731425e+03	5.221114e-01	1.651927e+02
1.731943e+03	5.221114e-01	1.651851e+02
1.732461e+03	5.221114e-01	1.651776e+02
1.732979e+03	5.221114e-01	1.651700e+02
1.733497e+03	5.221114e-01	1.651625e+02
1.734016e+03	5.221114e-01	1.651549e+02
1.734534e+03	5.221114e-01	1.651474e+02
1.735052e+03	5.221114e-01	1.651399e+02
1.735570e+03	5.221114e-01	1.651324e+02
1.736088e+03	5.221114e-01	1.651248e+02
1.736606e+03	5.221114e-01	1.651173e+02
1.737124e+03	5.221114e-01	1.651098e+02
1.737642e+03	5.221114e-01	1.651023e+02
1.738161e+03	5.221114e-01	1.650949e+02
1.738679e+03	5.221114e-01	1.650874e+02
1.739197e+03	5.221114e-01	1.650799e+02
1.739715e+03	5.221114e-01	1.650724e+02
1.740233e+03	5.221114e-01	1.650650e+02
1.740751e+03	5.221114e-01	1.650575e+02
1.741269e+03	5.221114e-01	1.650501e+02
1.741788e+03	5.221114e-01	1.650426e+02
1.742306e+03	5.221114e-01	1.650352e+02
1.742824e+03	5.221114e-01	1.650278e+02
1.743342e+03	5.221114e-01	1.650204e+02
1.743860e+03	5.221114e-01	1.650130e+02
1.744378e+03	5.221114e-01	1.650056e+02
1.744896e+03	5.221114e-01	1.649982e+02
1.745415e+03	5.221114e-01	1.649908e+02
1.745933e+03	5.221114e-01	1.649834e+02
1.746451e+03	5.221114e-01	1.649760e+02
1.746969e+03	5.221114e-01	1.649686e+02
1.747487e+03	5.221114e-01	1.649613e+02
1.748005e+03	5.221114e-01	1.649539e+02
1.748523e+03	5.221114e-01	1.649465e+02
1.749041e+03	5.221114e-01	1.649392e+02
1.749560e+03	5.221114e-01	1.649319e+02
1.750078e+03	5.221114e-01	1.649245e+02
1.750596e+03	5.221114e-01	1.649172e+02
1.751114e+03	5.221114e-01	1.649099e+02
1.751632e+03	5.221114e-01	1.649026e+02
1.752150e+03	5.221114e-01	1.648953e+02
1.752668e+03	5.221114e-01	1.648880e+02
1.753187e+03	5.221114e-01	1.648807e+02
1.753705e+03	5.221114e-01	1.648734e+02
1.754223e+03	5.221114e-01	1.648661e+02
1.754741e+03	5.221114e-01	1.648588e+02
1.755259e+03	5.221114e-01	1.648515e+02
1.755777e+03	5.221114e-01	1.648443e+02
1.756295e+03	5.221114e-01	1.648370e+02
1.756813e+03	5.221114e-01	1.648298e+02
1.757332e+03	5.221114e-01	1.648225e+02
1.757850e+03	5.221114e-01	1.648153e+02
1.758368e+03	5.221114e-01	1.648081e+02
1.758886e+03	5.221114e-01	1.648009e+02
1.759404e+03	5.221114e-01	1.647936e+02
1.759922e+03	5.221114e-01	1.647864e+02
1.760440e+03	5.221114e-01	1.647792e+02
1.760959e+03	5.221114e-01	1.647720e+02
1.761477e+03	5.221114e-01	1.647648e+02
1.761995e+03	5.221114e-01	1.647577e+02
1.762513e+03	5.221114e-01	1.647505e+02
1.763031e+03	5.221114e-01	1.647433e+02
1.763549e+03	5.221114e-01	1.647361e+02
1.764067e+03	5.221114e-01	1.647290e+02
1.764585e+03	5.221114e-01	1.647218e+02
1.765104e+03	5.221114e-01	1.647147e+02
1.765622e+03	5.221114e-01	1.647075e+02
1.766140e+03	5.221114e-01	1.647004e+02
1.766658e+03	5.221114e-01	1.646933e+02
1.767176e+03	5.221114e-01	1.646862e+02
1.767694e+03	5.221114e-01	1.646790e+02
1.768212e+03	5.221114e-01	1.646719e+02
1.768731e+03	5.221114e-01	1.646648e+02
1.769249e+03	5.221114e-01	1.646577e+02
1.769767e+03	5.221114e-01	1.646507e+02
1.770285e+03	5.221114e-01	1.646436e+02
1.770803e+03	5.221114e-01	1.646365e+02
1.771321e+03	5.221114e-01	1.646294e+02
1.771839e+03	5.221114e-01	1.646224e+02
1.772358e+03	5.221114e-01	1.646153e+02
1.772876e+03	5.221114e-01	1.646083e+02
1.773394e+03	5.221114e-01	1.646012e+02
1.773912e+03	5.221114e-01	1.645942e+02
1.774430e+03	5.221114e-01	1.645871e+02
1.774948e+03	5.221114e-01	1.645801e+02
1.775466e+03	5.221114e-01	1.645731e+02
1.775984e+03	5.221114e-01	1.645661e+02
1.776503e+03	5.221114e-01	1.645591e+02
1.777021e+03	5.221114e-01	1.645521e+02
1.777539e+03	5.221114e-01	1.645451e+02
1.778057e+03	5.221114e-01	1.645381e+02
1.778575e+03	5.221114e-01	1.645311e+02
1.779093e+03	5.221114e-01	1.645241e+02
1.779611e+03	5.221114e-01	1.645172e+02
